code,title,authors,area,subarea,edition,language,volume,subtitle,isbn,year,publisher,barcode
FIS-03.04,Heat Transfer,Alan J. Chapman,FIS,,2,2,,,,,,
FIS-03.05,Termodinámica,Jack Phillip Holman,FIS,,2,3,,,,,,
FIS-03.06,Fundamentos de Transferência de Calor e de Massa,Frank P. Incropera,FIS,,6,1,,,,,,
FIS-03.07,Termodinâmica,Mário José de Oliveira,FIS,,1,1,,,,,,
FIS-03.08,Fundamentos de Termodinâmica Clássica,"Gordon J. Van Wylen, Richard E. Sonntag",FIS,,2,1,,,,,,
FIS-03.09,Princípios da Transmissão de Calor,Frank Kreith,FIS,,3,1,,,,,,
FIS-03.10,Elementos de Termologia,Tore N. O. Folmer-Johnson,FIS,,1,1,,,,,,
QUI-03.01,Inorganic Chemistry,"Gary L. Miessler, Donald Arthur Tarr",QUI,,4,2,,,,,,
QUI-03.02,Inorganic Chemistry,"Duward F. Shriver, Peter William Atkins, Cooper Harold Langford",QUI,,2,2,,,,,,
BIO-04.01,Essentials of Neural Science and Behavior,"Eric R. Kandel, James H. Schwartz, Thomas M. Jessell",BIO,,1,2,,International Edition,,,,
BIO-04.01,Essentials of Neural Science and Behavior,"Eric R. Kandel, James H. Schwartz, Thomas M. Jessell",BIO,,1,2,,International Edition,,,,
BIO-04.01,Essentials of Neural Science and Behavior,"Eric R. Kandel, James H. Schwartz, Thomas M. Jessell",BIO,,1,2,,International Edition,,,,
BIO-04.01,Essentials of Neural Science and Behavior,"Eric R. Kandel, James H. Schwartz, Thomas M. Jessell",BIO,,1,2,,International Edition,,,,
BIO-04.01,Essentials of Neural Science and Behavior,"Eric R. Kandel, James H. Schwartz, Thomas M. Jessell",BIO,,1,2,,International Edition,,,,
BIO-04.02,Cem Bilhões de Neurônios,Roberto Lent,BIO,,1,1,,Conceitos Fundamentais de Neurociência,,,,
BIO-04.02,Cem Bilhões de Neurônios,Roberto Lent,BIO,,1,1,,Conceitos Fundamentais de Neurociência,,,,
BIO-04.03,Neuroanatomia Funcional,Angelo Barbosa Monteiro Machado,BIO,,2,1,,,,,,
BIO-04.04,Anatomia Humana,"Chihiro Yokochi, Johannes Wilhelm Rohen, Elke Lut Jen-Drecoll",BIO,,6,1,,Atlas Fotográfico de Anatomia Sistêmica e Regional,,,,
BIO-04.05,Janeway's Immunobiology,"Kenneth P. Murphy, Paul Travers, Mark Walport, Charles Janeway",BIO,,7,2,,,,,,
FIS-04.01,Eletromagnetismo,William H. Hayt Junior,FIS,,4,1,,,,,,
FIS-04.02  v.1,Eletricidade,Gerhard Sengberg,FIS,,13,1,1,Eletrodinâmica,,,,
FIS-04.03,Quantum Electrodynamics,Richard P. Feynman,FIS,,1,2,,A Lecture Note and Reprint Volume,,,,
FIS-04.04,Plasma Dynamics,R. O. Dendy,FIS,,1,2,,,,,,
FIS-04.05,Princípios de Eletrodinâmica Clássica,Josif Frenkel,FIS,,1,1,,,,,,
FIS-04.06,Corrente Elétrica,Eduardo Wilner,FIS,,1,1,,Problemas Resolvidos,,,,
QUI-04.01,Química Orgânica,"Normann L. Allinger, Michael P. Cava, Don C. de Jongh, Carl R. Johnson, Norman A. Lebel, Calvin L. Stevens",QUI,,2,1,,,,,,
QUI-04.02  v.1,Química orgânica,Maurício Gomes Constantino,QUI,,1,1,1,Curso Básico Universitário,,,,
QUI-04.02  v.2,Química orgânica,Maurício Gomes Constantino,QUI,,1,1,2,Curso Básico Universitário,,,,
QUI-04.02  v.3,Química orgânica,Maurício Gomes Constantino,QUI,,1,1,3,Curso Básico Universitário,,,,
QUI-04.03  v.1,Química orgânica,John McMurry,QUI,,7,1,1,,,,,
QUI-04.03  v.2,Química orgânica,John McMurry,QUI,,7,1,2,,,,,
QUI-04.04,Organic Chemistry,"Jonathan Clayden, Nick Greeves, Stuart Warren, Peter Wothers",QUI,,1,2,,,,,,
QUI-04.05,Organic Chemistry,T. W. Graham Solomons,QUI,,5,2,,,,,,
QUI-04.06,Organic Chemistry,Stanley H. Pine,QUI,,5,2,,,,,,
QUI-04.07,Organic Chemistry,Francis A. Carey,QUI,,3,2,,,,,,
QUI-04.08,Substâncias Carboniladas e Derivados,"Ronaldo Pilli, Sergio Pinheiro, Paulo Roberto Ribeiro Costa, Mario Vasconcellos",QUI,,1,1,,,,,,
BIO-05.01,Developmental Biology,Scott F. Gilbert,BIO,,5,2,,,,,,
BIO-05.02,Analysis of Biological Development,Klaus Kalthoff,BIO,,2,2,,,,,,
FIS-05.01,Mecânica Quântica,Antonio F. R. De Toledo Piza,FIS,,1,1,,,,,,
FIS-05.02,Introduction to Quantum Mechanics,"Linus Pauling, Edgar Bright Wilson",FIS,,1,2,,With Applications to Chemistry,,,,
FIS-05.03,Teoria Quântica,Eduardo M. A. Peixoto,FIS,,1,1,,,,,,
FIS-05.04,Exploring Black Holes,"Edwin F. Taylor, John Archibald Wheeler",FIS,,1,2,,Introduction to General Relativity,,,,
FIS-05.05,Introdução à Física Nuclear,K. C. Chung,FIS,,1,1,,,,,,
FIS-05.06,Física Atómica,Max Born,FIS,,4,1,,,,,,
FIS-05.06,Atomic Physics,Max Born,FIS,,8,2,,,,,,
QUI-05.01  v.1,Química Analítica Quantitativa,Otto A. Ohlweiler,QUI,,3,1,1,,,,,
QUI-05.01  v.2,Química Analítica Quantitativa,Otto A. Ohlweiler,QUI,,3,1,2,,,,,
BIO-06.01,The Superorganism,"Bert Holldobler, Edward O Wilson",BIO,,1,2,,"The Beauty, Elegance, and Strangeness of Insect Societies",,,,
BIO-06.02,Island Biology,Sherwin John Carlquist,BIO,,1,2,,,,,,
BIO-06.03,Niche Construction,"F. John Odling-Smee, Kevin N. Lala, Marcus Feldman",BIO,,1,2,,The Neglected Process in Evolution,,,,
FIS-06.02,Introdução à Física Estatística,Silvio R. A. Salinas,FIS,,1,1,,,,,,
